chrom	start	end	coverage	sample
NC_045512.2	19200	19400	43.8	SAMPLE1_PE
NC_045512.2	19400	19600	36.89	SAMPLE1_PE
NC_045512.2	19600	19800	52.33	SAMPLE1_PE
NC_045512.2	19800	20000	63.53	SAMPLE1_PE
NC_045512.2	20000	20200	67.07	SAMPLE1_PE
NC_045512.2	20200	20400	92.17	SAMPLE1_PE
NC_045512.2	20400	20600	90.3	SAMPLE1_PE
NC_045512.2	20600	20800	130.26	SAMPLE1_PE
NC_045512.2	20800	21000	82.51	SAMPLE1_PE
NC_045512.2	21000	21200	45.11	SAMPLE1_PE
NC_045512.2	21200	21400	10.47	SAMPLE1_PE
NC_045512.2	21400	21600	19.04	SAMPLE1_PE
NC_045512.2	21600	21800	57.77	SAMPLE1_PE
NC_045512.2	21800	22000	87.12	SAMPLE1_PE
NC_045512.2	22000	22200	73.84	SAMPLE1_PE
NC_045512.2	22200	22400	54.95	SAMPLE1_PE
NC_045512.2	22400	22600	41.32	SAMPLE1_PE
NC_045512.2	22600	22800	90.99	SAMPLE1_PE
NC_045512.2	22800	23000	49.74	SAMPLE1_PE
NC_045512.2	23000	23200	60.59	SAMPLE1_PE
NC_045512.2	23200	23400	179.8	SAMPLE1_PE
NC_045512.2	23400	23600	131.51	SAMPLE1_PE
NC_045512.2	23600	23800	117.06	SAMPLE1_PE
NC_045512.2	23800	24000	27.32	SAMPLE1_PE
NC_045512.2	24000	24200	34.09	SAMPLE1_PE
NC_045512.2	24200	24400	63.77	SAMPLE1_PE
NC_045512.2	24400	24600	72.43	SAMPLE1_PE
NC_045512.2	24600	24800	81.42	SAMPLE1_PE
NC_045512.2	24800	25000	87.17	SAMPLE1_PE
NC_045512.2	25000	25200	67.66	SAMPLE1_PE
NC_045512.2	25200	25400	74.01	SAMPLE1_PE
NC_045512.2	25400	25600	84.41	SAMPLE1_PE
NC_045512.2	25600	25800	29.35	SAMPLE1_PE
NC_045512.2	25800	26000	31.61	SAMPLE1_PE
NC_045512.2	26000	26200	76.49	SAMPLE1_PE
NC_045512.2	26200	26400	124.06	SAMPLE1_PE
NC_045512.2	26400	26600	111.52	SAMPLE1_PE
NC_045512.2	26600	26800	97.51	SAMPLE1_PE
NC_045512.2	26800	27000	101.91	SAMPLE1_PE
NC_045512.2	27000	27200	112.18	SAMPLE1_PE
NC_045512.2	27200	27400	135.61	SAMPLE1_PE
NC_045512.2	27400	27600	75.69	SAMPLE1_PE
NC_045512.2	27600	27800	25.19	SAMPLE1_PE
NC_045512.2	27800	28000	70.49	SAMPLE1_PE
NC_045512.2	28000	28200	88.4	SAMPLE1_PE
NC_045512.2	28200	28400	131.56	SAMPLE1_PE
NC_045512.2	28400	28600	65.24	SAMPLE1_PE
NC_045512.2	28600	28800	74.44	SAMPLE1_PE
NC_045512.2	28800	29000	115.29	SAMPLE1_PE
NC_045512.2	29000	29200	100.15	SAMPLE1_PE
NC_045512.2	29200	29400	86.88	SAMPLE1_PE
NC_045512.2	29400	29600	28.25	SAMPLE1_PE
NC_045512.2	29600	29800	8.7	SAMPLE1_PE
NC_045512.2	29800	29903	1.05	SAMPLE1_PE
