chrom	start	end	coverage	sample
NC_045512.2	8200	8400	14.88	SAMPLE3_SE
NC_045512.2	8400	8600	7.65	SAMPLE3_SE
NC_045512.2	8600	8800	0.66	SAMPLE3_SE
NC_045512.2	8800	9000	8.48	SAMPLE3_SE
NC_045512.2	9000	9200	29.03	SAMPLE3_SE
NC_045512.2	9200	9400	27.83	SAMPLE3_SE
NC_045512.2	9400	9600	26.85	SAMPLE3_SE
NC_045512.2	9600	9800	21.6	SAMPLE3_SE
NC_045512.2	9800	10000	38.95	SAMPLE3_SE
NC_045512.2	10000	10200	49	SAMPLE3_SE
NC_045512.2	10200	10400	49.62	SAMPLE3_SE
NC_045512.2	10400	10600	29.58	SAMPLE3_SE
NC_045512.2	10600	10800	26.45	SAMPLE3_SE
NC_045512.2	10800	11000	30.36	SAMPLE3_SE
NC_045512.2	11000	11200	44.37	SAMPLE3_SE
NC_045512.2	11200	11400	46.56	SAMPLE3_SE
NC_045512.2	11400	11600	28.88	SAMPLE3_SE
NC_045512.2	11600	11800	26.95	SAMPLE3_SE
NC_045512.2	11800	12000	30.25	SAMPLE3_SE
NC_045512.2	12000	12200	34.91	SAMPLE3_SE
NC_045512.2	12200	12400	34.27	SAMPLE3_SE
NC_045512.2	12400	12600	29.9	SAMPLE3_SE
NC_045512.2	12600	12800	25.9	SAMPLE3_SE
NC_045512.2	12800	13000	33.25	SAMPLE3_SE
NC_045512.2	13000	13200	37.28	SAMPLE3_SE
NC_045512.2	13200	13400	36.09	SAMPLE3_SE
NC_045512.2	13400	13600	25.86	SAMPLE3_SE
NC_045512.2	13600	13800	46.81	SAMPLE3_SE
NC_045512.2	13800	14000	64.59	SAMPLE3_SE
NC_045512.2	14000	14200	60.36	SAMPLE3_SE
NC_045512.2	14200	14400	45.85	SAMPLE3_SE
NC_045512.2	14400	14600	39.86	SAMPLE3_SE
NC_045512.2	14600	14800	34.2	SAMPLE3_SE
NC_045512.2	14800	15000	40.27	SAMPLE3_SE
NC_045512.2	15000	15200	56.34	SAMPLE3_SE
NC_045512.2	15200	15400	40.62	SAMPLE3_SE
NC_045512.2	15400	15600	46.1	SAMPLE3_SE
NC_045512.2	15600	15800	55.46	SAMPLE3_SE
NC_045512.2	15800	16000	55.72	SAMPLE3_SE
NC_045512.2	16000	16200	50	SAMPLE3_SE
NC_045512.2	16200	16400	22.3	SAMPLE3_SE
NC_045512.2	16400	16600	20.05	SAMPLE3_SE
NC_045512.2	16600	16800	18.39	SAMPLE3_SE
NC_045512.2	16800	17000	27.45	SAMPLE3_SE
NC_045512.2	17000	17200	32.36	SAMPLE3_SE
NC_045512.2	17200	17400	32.75	SAMPLE3_SE
NC_045512.2	17400	17600	43.11	SAMPLE3_SE
NC_045512.2	17600	17800	42.55	SAMPLE3_SE
NC_045512.2	17800	18000	34.17	SAMPLE3_SE
NC_045512.2	18000	18200	31.02	SAMPLE3_SE
NC_045512.2	18200	18400	36.28	SAMPLE3_SE
NC_045512.2	18400	18600	50.57	SAMPLE3_SE
NC_045512.2	18600	18800	55.37	SAMPLE3_SE
NC_045512.2	18800	19000	51.6	SAMPLE3_SE
NC_045512.2	19000	19200	38.26	SAMPLE3_SE
NC_045512.2	19200	19400	19.19	SAMPLE3_SE
NC_045512.2	19400	19600	8.6	SAMPLE3_SE
NC_045512.2	19600	19800	15	SAMPLE3_SE
NC_045512.2	19800	20000	25.63	SAMPLE3_SE
NC_045512.2	20000	20200	32.44	SAMPLE3_SE
NC_045512.2	20200	20400	36.04	SAMPLE3_SE
NC_045512.2	20400	20600	35.66	SAMPLE3_SE
NC_045512.2	20600	20800	32.64	SAMPLE3_SE
NC_045512.2	20800	21000	29.58	SAMPLE3_SE
NC_045512.2	21000	21200	21.87	SAMPLE3_SE
NC_045512.2	21200	21400	3.34	SAMPLE3_SE
NC_045512.2	21400	21600	3.44	SAMPLE3_SE
NC_045512.2	21600	21800	18.12	SAMPLE3_SE
NC_045512.2	21800	22000	30.79	SAMPLE3_SE
NC_045512.2	22000	22200	22.7	SAMPLE3_SE
NC_045512.2	22200	22400	14.89	SAMPLE3_SE
NC_045512.2	22400	22600	9.67	SAMPLE3_SE
NC_045512.2	22600	22800	29.48	SAMPLE3_SE
NC_045512.2	22800	23000	18.97	SAMPLE3_SE
NC_045512.2	23000	23200	21.58	SAMPLE3_SE
NC_045512.2	23200	23400	76.32	SAMPLE3_SE
NC_045512.2	23400	23600	72.29	SAMPLE3_SE
NC_045512.2	23600	23800	33.48	SAMPLE3_SE
NC_045512.2	23800	24000	9.17	SAMPLE3_SE
NC_045512.2	24000	24200	13.97	SAMPLE3_SE
NC_045512.2	24200	24400	26.58	SAMPLE3_SE
NC_045512.2	24400	24600	31.76	SAMPLE3_SE
NC_045512.2	24600	24800	36.15	SAMPLE3_SE
NC_045512.2	24800	25000	38.29	SAMPLE3_SE
NC_045512.2	25000	25200	37.25	SAMPLE3_SE
NC_045512.2	25200	25400	35.4	SAMPLE3_SE
NC_045512.2	25400	25600	33.7	SAMPLE3_SE
NC_045512.2	25600	25800	13.08	SAMPLE3_SE
NC_045512.2	25800	26000	13.45	SAMPLE3_SE
NC_045512.2	26000	26200	29.29	SAMPLE3_SE
NC_045512.2	26200	26400	45.22	SAMPLE3_SE
NC_045512.2	26400	26600	46.7	SAMPLE3_SE
NC_045512.2	26600	26800	34.27	SAMPLE3_SE
NC_045512.2	26800	27000	41.54	SAMPLE3_SE
NC_045512.2	27000	27200	53.92	SAMPLE3_SE
NC_045512.2	27200	27400	56.1	SAMPLE3_SE
NC_045512.2	27400	27600	29.01	SAMPLE3_SE
NC_045512.2	27600	27800	12.77	SAMPLE3_SE
NC_045512.2	27800	28000	26.39	SAMPLE3_SE
NC_045512.2	28000	28200	34.91	SAMPLE3_SE
NC_045512.2	28200	28400	51.2	SAMPLE3_SE
NC_045512.2	28400	28600	34.49	SAMPLE3_SE
NC_045512.2	28600	28800	42.39	SAMPLE3_SE
NC_045512.2	28800	29000	38.54	SAMPLE3_SE
NC_045512.2	29000	29200	33.86	SAMPLE3_SE
NC_045512.2	29200	29400	29.5	SAMPLE3_SE
NC_045512.2	29400	29600	8.76	SAMPLE3_SE
NC_045512.2	29600	29800	5.29	SAMPLE3_SE
NC_045512.2	29800	29903	0.68	SAMPLE3_SE
