chrom	start	end	coverage	sample
NC_045512.2	11400	11600	79.21	SAMPLE3_SE
NC_045512.2	11600	11800	133.35	SAMPLE3_SE
NC_045512.2	11800	12000	337.42	SAMPLE3_SE
NC_045512.2	12000	12200	715.88	SAMPLE3_SE
NC_045512.2	12200	12400	500.03	SAMPLE3_SE
NC_045512.2	12400	12600	231.52	SAMPLE3_SE
NC_045512.2	12600	12800	190.75	SAMPLE3_SE
NC_045512.2	12800	13000	178.23	SAMPLE3_SE
NC_045512.2	13000	13200	476.6	SAMPLE3_SE
NC_045512.2	13200	13400	429.22	SAMPLE3_SE
NC_045512.2	13400	13600	105.54	SAMPLE3_SE
NC_045512.2	13600	13800	480.41	SAMPLE3_SE
NC_045512.2	13800	14000	509.27	SAMPLE3_SE
NC_045512.2	14000	14200	707.65	SAMPLE3_SE
NC_045512.2	14200	14400	599.95	SAMPLE3_SE
NC_045512.2	14400	14600	544.99	SAMPLE3_SE
NC_045512.2	14600	14800	1009.87	SAMPLE3_SE
NC_045512.2	14800	15000	807.08	SAMPLE3_SE
NC_045512.2	15000	15200	955.3	SAMPLE3_SE
NC_045512.2	15200	15400	353.24	SAMPLE3_SE
NC_045512.2	15400	15600	401.82	SAMPLE3_SE
NC_045512.2	15600	15800	773.47	SAMPLE3_SE
NC_045512.2	15800	16000	1012.41	SAMPLE3_SE
NC_045512.2	16000	16200	1180.39	SAMPLE3_SE
NC_045512.2	16200	16400	276.51	SAMPLE3_SE
NC_045512.2	16400	16600	170.65	SAMPLE3_SE
NC_045512.2	16600	16800	110.63	SAMPLE3_SE
NC_045512.2	16800	17000	323.41	SAMPLE3_SE
NC_045512.2	17000	17200	273.68	SAMPLE3_SE
NC_045512.2	17200	17400	228.76	SAMPLE3_SE
NC_045512.2	17400	17600	1203.44	SAMPLE3_SE
NC_045512.2	17600	17800	1065.52	SAMPLE3_SE
NC_045512.2	17800	18000	779.28	SAMPLE3_SE
NC_045512.2	18000	18200	359	SAMPLE3_SE
NC_045512.2	18200	18400	286.64	SAMPLE3_SE
NC_045512.2	18400	18600	284.25	SAMPLE3_SE
NC_045512.2	18600	18800	477.89	SAMPLE3_SE
NC_045512.2	18800	19000	477.09	SAMPLE3_SE
NC_045512.2	19000	19200	429.89	SAMPLE3_SE
NC_045512.2	19200	19400	111.01	SAMPLE3_SE
NC_045512.2	19400	19600	35.94	SAMPLE3_SE
NC_045512.2	19600	19800	91.03	SAMPLE3_SE
NC_045512.2	19800	20000	123.02	SAMPLE3_SE
NC_045512.2	20000	20200	136.37	SAMPLE3_SE
NC_045512.2	20200	20400	350.54	SAMPLE3_SE
NC_045512.2	20400	20600	377.43	SAMPLE3_SE
NC_045512.2	20600	20800	561.75	SAMPLE3_SE
NC_045512.2	20800	21000	378.68	SAMPLE3_SE
NC_045512.2	21000	21200	198.79	SAMPLE3_SE
NC_045512.2	21200	21400	13.9	SAMPLE3_SE
NC_045512.2	21400	21600	31.95	SAMPLE3_SE
NC_045512.2	21600	21800	450.94	SAMPLE3_SE
NC_045512.2	21800	22000	840.37	SAMPLE3_SE
NC_045512.2	22000	22200	482.66	SAMPLE3_SE
NC_045512.2	22200	22400	289.6	SAMPLE3_SE
NC_045512.2	22400	22600	78.74	SAMPLE3_SE
NC_045512.2	22600	22800	289.05	SAMPLE3_SE
NC_045512.2	22800	23000	108.95	SAMPLE3_SE
NC_045512.2	23000	23200	329.68	SAMPLE3_SE
NC_045512.2	23200	23400	1686.48	SAMPLE3_SE
NC_045512.2	23400	23600	645.15	SAMPLE3_SE
NC_045512.2	23600	23800	290.53	SAMPLE3_SE
NC_045512.2	23800	24000	53.7	SAMPLE3_SE
NC_045512.2	24000	24200	58.16	SAMPLE3_SE
NC_045512.2	24200	24400	104.14	SAMPLE3_SE
NC_045512.2	24400	24600	112.71	SAMPLE3_SE
NC_045512.2	24600	24800	170.76	SAMPLE3_SE
NC_045512.2	24800	25000	281.61	SAMPLE3_SE
NC_045512.2	25000	25200	250.98	SAMPLE3_SE
NC_045512.2	25200	25400	329.07	SAMPLE3_SE
NC_045512.2	25400	25600	503.5	SAMPLE3_SE
NC_045512.2	25600	25800	79.98	SAMPLE3_SE
NC_045512.2	25800	26000	61.07	SAMPLE3_SE
NC_045512.2	26000	26200	228.89	SAMPLE3_SE
NC_045512.2	26200	26400	1322.84	SAMPLE3_SE
NC_045512.2	26400	26600	1259.69	SAMPLE3_SE
NC_045512.2	26600	26800	542.57	SAMPLE3_SE
NC_045512.2	26800	27000	870.1	SAMPLE3_SE
NC_045512.2	27000	27200	1161.66	SAMPLE3_SE
NC_045512.2	27200	27400	1315.52	SAMPLE3_SE
NC_045512.2	27400	27600	609.42	SAMPLE3_SE
NC_045512.2	27600	27800	25.56	SAMPLE3_SE
NC_045512.2	27800	28000	234.44	SAMPLE3_SE
NC_045512.2	28000	28200	480.46	SAMPLE3_SE
NC_045512.2	28200	28400	950.46	SAMPLE3_SE
NC_045512.2	28400	28600	252.61	SAMPLE3_SE
NC_045512.2	28600	28800	236.84	SAMPLE3_SE
NC_045512.2	28800	29000	402.52	SAMPLE3_SE
NC_045512.2	29000	29200	307.31	SAMPLE3_SE
NC_045512.2	29200	29400	231.58	SAMPLE3_SE
NC_045512.2	29400	29600	78.21	SAMPLE3_SE
NC_045512.2	29600	29800	15.69	SAMPLE3_SE
NC_045512.2	29800	29903	0.68	SAMPLE3_SE
