Found 196 primers in BED file
Amplicons detected: 

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 37979 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_49_RIGHT	457
nCoV-2019_50_LEFT	463
nCoV-2019_50_RIGHT	453
nCoV-2019_51_LEFT	151
nCoV-2019_51_RIGHT	101
nCoV-2019_52_LEFT	355
nCoV-2019_52_RIGHT	375
nCoV-2019_53_LEFT	602
nCoV-2019_53_RIGHT	644
nCoV-2019_54_LEFT	56
nCoV-2019_54_RIGHT	76
nCoV-2019_55_LEFT	26
nCoV-2019_55_RIGHT	14
nCoV-2019_56_LEFT	90
nCoV-2019_56_RIGHT	88
nCoV-2019_57_LEFT	71
nCoV-2019_57_RIGHT	79
nCoV-2019_58_LEFT	414
nCoV-2019_58_RIGHT	419
nCoV-2019_59_LEFT	362
nCoV-2019_59_RIGHT	380
nCoV-2019_60_LEFT	109
nCoV-2019_60_RIGHT	102
nCoV-2019_61_LEFT	205
nCoV-2019_61_RIGHT	175
nCoV-2019_62_LEFT	307
nCoV-2019_62_RIGHT	332
nCoV-2019_63_LEFT	245
nCoV-2019_63_RIGHT	250
nCoV-2019_64_LEFT	0
nCoV-2019_64_RIGHT	1
nCoV-2019_65_LEFT	14
nCoV-2019_65_RIGHT	12
nCoV-2019_66_LEFT	41
nCoV-2019_66_RIGHT	35
nCoV-2019_67_LEFT	86
nCoV-2019_67_RIGHT	86
nCoV-2019_68_LEFT	25
nCoV-2019_68_RIGHT	34
nCoV-2019_69_LEFT	147
nCoV-2019_69_RIGHT	153
nCoV-2019_70_LEFT	2
nCoV-2019_70_RIGHT	2
nCoV-2019_71_LEFT	1
nCoV-2019_71_RIGHT	2
nCoV-2019_72_LEFT	288
nCoV-2019_72_RIGHT	274
nCoV-2019_73_LEFT	159
nCoV-2019_73_RIGHT	200
nCoV-2019_74_LEFT	6
nCoV-2019_74_RIGHT	4
nCoV-2019_75_LEFT	83
nCoV-2019_75_RIGHT	68
nCoV-2019_76_LEFT	13
nCoV-2019_76_RIGHT	3
nCoV-2019_77_LEFT	1308
nCoV-2019_77_RIGHT	1199
nCoV-2019_78_LEFT	2
nCoV-2019_78_RIGHT	6
nCoV-2019_79_LEFT	2
nCoV-2019_79_RIGHT	6
nCoV-2019_80_LEFT	15
nCoV-2019_80_RIGHT	13
nCoV-2019_81_LEFT	50
nCoV-2019_81_RIGHT	43
nCoV-2019_82_LEFT	116
nCoV-2019_82_RIGHT	107
nCoV-2019_83_LEFT	117
nCoV-2019_83_RIGHT	143
nCoV-2019_84_LEFT	286
nCoV-2019_84_RIGHT	306
nCoV-2019_85_LEFT	0
nCoV-2019_85_RIGHT	0
nCoV-2019_86_LEFT	118
nCoV-2019_86_RIGHT	111
nCoV-2019_87_LEFT	687
nCoV-2019_87_RIGHT	702
nCoV-2019_88_LEFT	291
nCoV-2019_88_RIGHT	280
nCoV-2019_89_LEFT	588
nCoV-2019_89_RIGHT	499
nCoV-2019_90_LEFT	559
nCoV-2019_90_RIGHT	618
nCoV-2019_91_LEFT	1
nCoV-2019_91_RIGHT	1
nCoV-2019_92_LEFT	55
nCoV-2019_92_RIGHT	50
nCoV-2019_93_LEFT	521
nCoV-2019_93_RIGHT	562
nCoV-2019_94_LEFT	50
nCoV-2019_94_RIGHT	34
nCoV-2019_95_LEFT	83
nCoV-2019_95_RIGHT	97
nCoV-2019_96_LEFT	69
nCoV-2019_96_RIGHT	74
nCoV-2019_97_LEFT	13
nCoV-2019_97_RIGHT	12
nCoV-2019_98_LEFT	0
nCoV-2019_98_RIGHT	0

Trimmed primers from 96.16% (36521) of reads.
0.09% (33) of reads were quality trimmed below the minimum length of 20 bp and were not written to file.
3.83% (1455) of reads started outside of primer regions. Since the -e flag was given, these reads were written to file.
0.82% (311) of reads had their insert size smaller than their read length
