Found 196 primers in BED file
Amplicons detected: 

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 48045 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_43_LEFT	57
nCoV-2019_43_RIGHT	125
nCoV-2019_44_LEFT	190
nCoV-2019_44_RIGHT	166
nCoV-2019_45_LEFT	73
nCoV-2019_45_RIGHT	70
nCoV-2019_46_LEFT	253
nCoV-2019_46_RIGHT	257
nCoV-2019_47_LEFT	375
nCoV-2019_47_RIGHT	473
nCoV-2019_48_LEFT	293
nCoV-2019_48_RIGHT	280
nCoV-2019_49_LEFT	604
nCoV-2019_49_RIGHT	580
nCoV-2019_50_LEFT	543
nCoV-2019_50_RIGHT	544
nCoV-2019_51_LEFT	165
nCoV-2019_51_RIGHT	136
nCoV-2019_52_LEFT	385
nCoV-2019_52_RIGHT	366
nCoV-2019_53_LEFT	760
nCoV-2019_53_RIGHT	811
nCoV-2019_54_LEFT	149
nCoV-2019_54_RIGHT	226
nCoV-2019_55_LEFT	138
nCoV-2019_55_RIGHT	44
nCoV-2019_56_LEFT	212
nCoV-2019_56_RIGHT	215
nCoV-2019_57_LEFT	149
nCoV-2019_57_RIGHT	170
nCoV-2019_58_LEFT	943
nCoV-2019_58_RIGHT	946
nCoV-2019_59_LEFT	450
nCoV-2019_59_RIGHT	483
nCoV-2019_60_LEFT	197
nCoV-2019_60_RIGHT	157
nCoV-2019_61_LEFT	88
nCoV-2019_61_RIGHT	51
nCoV-2019_62_LEFT	205
nCoV-2019_62_RIGHT	245
nCoV-2019_63_LEFT	146
nCoV-2019_63_RIGHT	172
nCoV-2019_64_LEFT	7
nCoV-2019_64_RIGHT	31
nCoV-2019_65_LEFT	79
nCoV-2019_65_RIGHT	76
nCoV-2019_66_LEFT	117
nCoV-2019_66_RIGHT	77
nCoV-2019_67_LEFT	311
nCoV-2019_67_RIGHT	272
nCoV-2019_68_LEFT	497
nCoV-2019_68_RIGHT	600
nCoV-2019_69_LEFT	160
nCoV-2019_69_RIGHT	171
nCoV-2019_70_LEFT	8
nCoV-2019_70_RIGHT	11
nCoV-2019_71_LEFT	30
nCoV-2019_71_RIGHT	17
nCoV-2019_72_LEFT	583
nCoV-2019_72_RIGHT	566
nCoV-2019_73_LEFT	230
nCoV-2019_73_RIGHT	427
nCoV-2019_74_LEFT	31
nCoV-2019_74_RIGHT	20
nCoV-2019_75_LEFT	235
nCoV-2019_75_RIGHT	172
nCoV-2019_76_LEFT	42
nCoV-2019_76_RIGHT	1
nCoV-2019_77_LEFT	522
nCoV-2019_77_RIGHT	289
nCoV-2019_78_LEFT	4
nCoV-2019_78_RIGHT	18
nCoV-2019_79_LEFT	16
nCoV-2019_79_RIGHT	27
nCoV-2019_80_LEFT	37
nCoV-2019_80_RIGHT	42
nCoV-2019_81_LEFT	45
nCoV-2019_81_RIGHT	76
nCoV-2019_82_LEFT	134
nCoV-2019_82_RIGHT	106
nCoV-2019_83_LEFT	93
nCoV-2019_83_RIGHT	119
nCoV-2019_84_LEFT	166
nCoV-2019_84_RIGHT	203
nCoV-2019_85_LEFT	3
nCoV-2019_85_RIGHT	25
nCoV-2019_86_LEFT	102
nCoV-2019_86_RIGHT	99
nCoV-2019_87_LEFT	1001
nCoV-2019_87_RIGHT	1055
nCoV-2019_88_LEFT	243
nCoV-2019_88_RIGHT	203
nCoV-2019_89_LEFT	679
nCoV-2019_89_RIGHT	598
nCoV-2019_90_LEFT	710
nCoV-2019_90_RIGHT	819
nCoV-2019_91_LEFT	12
nCoV-2019_91_RIGHT	20
nCoV-2019_92_LEFT	217
nCoV-2019_92_RIGHT	201
nCoV-2019_93_LEFT	370
nCoV-2019_93_RIGHT	494
nCoV-2019_94_LEFT	66
nCoV-2019_94_RIGHT	34
nCoV-2019_95_LEFT	273
nCoV-2019_95_RIGHT	317
nCoV-2019_96_LEFT	192
nCoV-2019_96_RIGHT	238
nCoV-2019_97_LEFT	63
nCoV-2019_97_RIGHT	68
nCoV-2019_98_LEFT	1
nCoV-2019_98_RIGHT	3

Trimmed primers from 92.98% (44672) of reads.
0.05% (23) of reads were quality trimmed below the minimum length of 20 bp and were not written to file.
7.01% (3370) of reads started outside of primer regions. Since the -e flag was given, these reads were written to file.
1.99% (956) of reads had their insert size smaller than their read length
