chrom	start	end	region	coverage	sample
NC_045512.2	11306	11693	nCoV-2019_38	53	SAMPLE1_PE
NC_045512.2	11555	11949	nCoV-2019_39	70	SAMPLE1_PE
NC_045512.2	11863	12256	nCoV-2019_40	82	SAMPLE1_PE
NC_045512.2	12110	12490	nCoV-2019_41	73	SAMPLE1_PE
NC_045512.2	12417	12802	nCoV-2019_42	65	SAMPLE1_PE
NC_045512.2	12710	13096	nCoV-2019_43	73	SAMPLE1_PE
NC_045512.2	13005	13400	nCoV-2019_44	85	SAMPLE1_PE
NC_045512.2	13319	13699	nCoV-2019_45	65	SAMPLE1_PE
NC_045512.2	13599	13984	nCoV-2019_46	126	SAMPLE1_PE
NC_045512.2	13918	14299	nCoV-2019_47	146	SAMPLE1_PE
NC_045512.2	14207	14601	nCoV-2019_48	93	SAMPLE1_PE
NC_045512.2	14545	14926	nCoV-2019_49	104	SAMPLE1_PE
NC_045512.2	14865	15246	nCoV-2019_50	114	SAMPLE1_PE
NC_045512.2	15171	15560	nCoV-2019_51	83	SAMPLE1_PE
NC_045512.2	15481	15886	nCoV-2019_52	122	SAMPLE1_PE
NC_045512.2	15827	16209	nCoV-2019_53	140	SAMPLE1_PE
NC_045512.2	16118	16510	nCoV-2019_54	69	SAMPLE1_PE
NC_045512.2	16416	16833	nCoV-2019_55	59	SAMPLE1_PE
NC_045512.2	16748	17152	nCoV-2019_56	65	SAMPLE1_PE
NC_045512.2	17065	17452	nCoV-2019_57	74	SAMPLE1_PE
NC_045512.2	17381	17761	nCoV-2019_58	124	SAMPLE1_PE
NC_045512.2	17674	18062	nCoV-2019_59	83	SAMPLE1_PE
NC_045512.2	17966	18348	nCoV-2019_60	80	SAMPLE1_PE
NC_045512.2	18253	18672	nCoV-2019_61	70	SAMPLE1_PE
NC_045512.2	18596	18979	nCoV-2019_62	112	SAMPLE1_PE
NC_045512.2	18896	19297	nCoV-2019_63	91	SAMPLE1_PE
NC_045512.2	19204	19616	nCoV-2019_64	38	SAMPLE1_PE
NC_045512.2	19548	19939	nCoV-2019_65	56	SAMPLE1_PE
NC_045512.2	19844	20255	nCoV-2019_66	73	SAMPLE1_PE
NC_045512.2	20172	20572	nCoV-2019_67	98	SAMPLE1_PE
NC_045512.2	20472	20890	nCoV-2019_68	120	SAMPLE1_PE
NC_045512.2	20786	21169	nCoV-2019_69	66	SAMPLE1_PE
NC_045512.2	21075	21455	nCoV-2019_70	11	SAMPLE1_PE
NC_045512.2	21357	21743	nCoV-2019_71	21	SAMPLE1_PE
NC_045512.2	21658	22038	nCoV-2019_72	88	SAMPLE1_PE
NC_045512.2	21961	22346	nCoV-2019_73	79	SAMPLE1_PE
NC_045512.2	22262	22650	nCoV-2019_74	24	SAMPLE1_PE
NC_045512.2	22516	22903	nCoV-2019_75	87	SAMPLE1_PE
NC_045512.2	22797	23214	nCoV-2019_76	42	SAMPLE1_PE
NC_045512.2	23122	23522	nCoV-2019_77	166	SAMPLE1_PE
NC_045512.2	23443	23847	nCoV-2019_78	116	SAMPLE1_PE
NC_045512.2	23789	24169	nCoV-2019_79	25	SAMPLE1_PE
NC_045512.2	24078	24467	nCoV-2019_80	62	SAMPLE1_PE
NC_045512.2	24391	24789	nCoV-2019_81	83	SAMPLE1_PE
NC_045512.2	24696	25076	nCoV-2019_82	87	SAMPLE1_PE
NC_045512.2	24978	25369	nCoV-2019_83	72	SAMPLE1_PE
NC_045512.2	25279	25673	nCoV-2019_84	81	SAMPLE1_PE
NC_045512.2	25601	25994	nCoV-2019_85	23	SAMPLE1_PE
NC_045512.2	25902	26315	nCoV-2019_86	79	SAMPLE1_PE
NC_045512.2	26197	26590	nCoV-2019_87	128	SAMPLE1_PE
NC_045512.2	26520	26913	nCoV-2019_88	97	SAMPLE1_PE
NC_045512.2	26835	27227	nCoV-2019_89	118	SAMPLE1_PE
NC_045512.2	27141	27533	nCoV-2019_90	137	SAMPLE1_PE
NC_045512.2	27446	27854	nCoV-2019_91	26	SAMPLE1_PE
NC_045512.2	27784	28172	nCoV-2019_92	80	SAMPLE1_PE
NC_045512.2	28081	28464	nCoV-2019_93	118	SAMPLE1_PE
NC_045512.2	28394	28779	nCoV-2019_94	57	SAMPLE1_PE
NC_045512.2	28677	29063	nCoV-2019_95	111	SAMPLE1_PE
NC_045512.2	28985	29378	nCoV-2019_96	106	SAMPLE1_PE
NC_045512.2	29288	29693	nCoV-2019_97	28	SAMPLE1_PE
NC_045512.2	29486	29866	nCoV-2019_98	4	SAMPLE1_PE
